poc,x,y,w,h
14220,393.0,400.0,94.0,77.0
14250,393.0,400.0,94.0,77.0
14280,394.0,400.0,94.0,77.0
14280,392.0,400.0,108.0,79.0
14310,388.0,400.0,108.0,79.0
14340,391.0,399.0,108.0,79.0
14370,379.0,399.0,108.0,79.0
14400,391.0,399.0,108.0,79.0
14430,389.0,399.0,108.0,79.0
14430,390.0,395.0,136.0,82.0
14460,390.0,392.0,136.0,82.0
14490,374.0,381.0,136.0,82.0
14520,396.0,389.0,136.0,82.0
14550,399.0,386.0,136.0,82.0
14580,403.0,388.0,136.0,82.0
14610,391.0,397.0,122.0,82.0
14640,403.0,394.0,122.0,82.0
14670,403.0,392.0,122.0,82.0
14700,410.0,389.0,122.0,82.0
14730,397.0,397.0,122.0,82.0
14760,410.0,389.0,122.0,82.0
14760,390.0,395.0,126.0,83.0
14790,388.0,395.0,126.0,83.0
14820,384.0,396.0,126.0,83.0
14850,386.0,395.0,126.0,83.0
14880,386.0,395.0,126.0,83.0
14910,386.0,395.0,126.0,83.0
14910,393.0,400.0,109.0,77.0
14940,392.0,400.0,109.0,77.0
14970,393.0,400.0,109.0,77.0
15000,415.0,390.0,109.0,77.0
15030,396.0,401.0,109.0,77.0
15060,395.0,397.0,109.0,77.0
15060,399.0,389.0,119.0,86.0
15090,406.0,368.0,119.0,86.0
15120,389.0,355.0,119.0,86.0
15150,385.0,379.0,119.0,86.0
15180,389.0,378.0,119.0,86.0
15210,392.0,377.0,119.0,86.0
17340,297.0,274.0,91.0,50.0
17370,281.0,269.0,91.0,50.0
17400,284.0,268.0,91.0,50.0
17430,288.0,268.0,91.0,50.0
17460,282.0,269.0,91.0,50.0
17490,281.0,271.0,91.0,50.0
17520,291.0,278.0,100.0,47.0
17550,295.0,275.0,100.0,47.0
17580,296.0,278.0,100.0,47.0
17610,292.0,278.0,100.0,47.0
17640,295.0,277.0,100.0,47.0
17670,295.0,276.0,100.0,47.0
17670,292.0,265.0,101.0,61.0
17700,291.0,267.0,101.0,61.0
17730,288.0,269.0,101.0,61.0
17760,288.0,268.0,101.0,61.0
17790,288.0,268.0,101.0,61.0
17820,288.0,268.0,101.0,61.0
17850,287.0,280.0,105.0,45.0
17880,264.0,289.0,105.0,45.0
17910,286.0,280.0,105.0,45.0
17940,286.0,280.0,105.0,45.0
17970,291.0,279.0,105.0,45.0
18000,286.0,280.0,105.0,45.0
18000,285.0,276.0,112.0,46.0
18030,287.0,275.0,112.0,46.0
18060,287.0,276.0,112.0,46.0
18090,283.0,278.0,112.0,46.0
18120,284.0,277.0,112.0,46.0
18150,286.0,276.0,112.0,46.0
18150,289.0,273.0,104.0,48.0
18180,286.0,273.0,104.0,48.0
18210,288.0,273.0,104.0,48.0
18240,295.0,275.0,104.0,48.0
18270,295.0,274.0,104.0,48.0
18300,291.0,272.0,104.0,48.0
18300,291.0,282.0,101.0,46.0
18330,290.0,282.0,101.0,46.0
18360,290.0,282.0,101.0,46.0
18390,290.0,280.0,101.0,46.0
18420,290.0,282.0,101.0,46.0
18450,289.0,282.0,101.0,46.0
18450,307.0,277.0,81.0,47.0
18480,308.0,279.0,81.0,47.0
18510,306.0,277.0,81.0,47.0
18540,304.0,277.0,81.0,47.0
18570,304.0,278.0,81.0,47.0
18600,308.0,276.0,81.0,47.0
18600,280.0,276.0,111.0,57.0
18630,281.0,274.0,111.0,57.0
18660,279.0,277.0,111.0,57.0
18690,281.0,276.0,111.0,57.0
18720,298.0,272.0,111.0,57.0
18750,277.0,276.0,111.0,57.0
18750,284.0,276.0,107.0,68.0
18780,279.0,275.0,107.0,68.0
18810,279.0,276.0,107.0,68.0
18840,280.0,277.0,107.0,68.0
18870,277.0,277.0,107.0,68.0
18900,280.0,277.0,107.0,68.0
18900,287.0,272.0,108.0,55.0
18930,300.0,267.0,108.0,55.0
18960,297.0,266.0,108.0,55.0
18990,288.0,270.0,108.0,55.0
19020,290.0,270.0,108.0,55.0
19050,296.0,269.0,108.0,55.0
19050,288.0,274.0,102.0,50.0
19080,288.0,274.0,102.0,50.0
19110,289.0,273.0,102.0,50.0
19140,288.0,274.0,102.0,50.0
19170,286.0,274.0,102.0,50.0
19200,287.0,274.0,102.0,50.0
19200,282.0,274.0,109.0,53.0
19230,283.0,274.0,109.0,53.0
19260,280.0,275.0,109.0,53.0
19290,280.0,275.0,109.0,53.0
19320,280.0,275.0,109.0,53.0
19350,286.0,274.0,109.0,53.0
19350,283.0,276.0,111.0,50.0
19380,284.0,277.0,111.0,50.0
19410,282.0,277.0,111.0,50.0
19440,283.0,276.0,111.0,50.0
19470,285.0,276.0,111.0,50.0
19500,282.0,277.0,111.0,50.0
19500,278.0,275.0,114.0,55.0
19530,278.0,276.0,114.0,55.0
19560,281.0,276.0,114.0,55.0
19590,279.0,277.0,114.0,55.0
19620,280.0,276.0,114.0,55.0
19650,280.0,277.0,114.0,55.0
19650,281.0,270.0,113.0,60.0
19680,279.0,272.0,113.0,60.0
19710,281.0,271.0,113.0,60.0
19740,283.0,268.0,113.0,60.0
19770,284.0,270.0,113.0,60.0
19800,284.0,270.0,113.0,60.0
19800,285.0,272.0,107.0,58.0
19830,283.0,274.0,107.0,58.0
19860,283.0,274.0,107.0,58.0
19890,283.0,274.0,107.0,58.0
19920,289.0,272.0,107.0,58.0
19950,287.0,273.0,107.0,58.0
19950,291.0,272.0,100.0,53.0
19980,288.0,274.0,100.0,53.0
20010,288.0,273.0,100.0,53.0
20040,288.0,273.0,100.0,53.0
20070,288.0,273.0,100.0,53.0
20100,290.0,272.0,100.0,53.0
20100,281.0,272.0,110.0,56.0
20130,281.0,270.0,110.0,56.0
20160,283.0,271.0,110.0,56.0
20190,282.0,273.0,110.0,56.0
20220,273.0,274.0,110.0,56.0
20250,273.0,273.0,110.0,56.0
20250,277.0,272.0,116.0,55.0
20280,279.0,273.0,116.0,55.0
20310,280.0,273.0,116.0,55.0
20340,258.0,279.0,116.0,55.0
20370,235.0,283.0,116.0,55.0
20400,236.0,285.0,116.0,55.0
