f0,W,H,FPS,w0,h0,w,h
18510,858,480,30,283,275,107,57
18540,858,480,30,284,276,109,57
18570,858,480,30,280,276,111,54
18600,858,480,30,280,276,111,57
18630,858,480,30,290,274,103,48
18660,858,480,30,275,276,115,53
18690,858,480,30,292,280,99,45
18720,858,480,30,286,275,108,53
18750,858,480,30,284,276,107,68
18780,858,480,30,291,270,105,57
18810,858,480,30,285,274,103,51
18840,858,480,30,308,279,82,44
18870,858,480,30,292,272,101,51
18900,858,480,30,287,272,108,55
18930,858,480,30,286,271,106,56
18960,858,480,30,287,271,106,53
18990,858,480,30,287,271,107,57
19020,858,480,30,288,270,104,54
19050,858,480,30,288,274,102,50
19080,858,480,30,269,274,126,54
19110,858,480,30,285,273,106,53
19140,858,480,30,286,273,103,54
19170,858,480,30,277,273,117,52
19200,858,480,30,282,274,109,53
19230,858,480,30,284,277,108,50
19260,858,480,30,275,273,117,58
19290,858,480,30,274,273,117,61
19320,858,480,30,274,271,119,63
19350,858,480,30,283,276,111,50
19380,858,480,30,283,278,110,48
19410,858,480,30,279,275,111,52
19440,858,480,30,280,274,112,55
19470,858,480,30,285,274,109,50
19500,858,480,30,278,275,114,55
19530,858,480,30,277,273,118,55
19560,858,480,30,273,272,125,55
19590,858,480,30,290,274,107,52
19620,858,480,30,287,277,105,50
19650,858,480,30,281,270,113,60
19680,858,480,30,277,271,115,61
19710,858,480,30,285,276,108,51
19740,858,480,30,280,272,113,56
19770,858,480,30,283,272,109,58
19800,858,480,30,285,272,107,58
19830,858,480,30,282,273,108,57
19860,858,480,30,280,271,111,59
19890,858,480,30,287,272,102,54
19920,858,480,30,287,272,103,54
19950,858,480,30,291,272,100,53
19980,858,480,30,280,272,111,57
20010,858,480,30,275,271,117,62
20040,858,480,30,281,271,111,57
20070,858,480,30,282,273,108,55
20100,858,480,30,281,272,110,56
20130,858,480,30,288,270,103,56
20160,858,480,30,284,272,107,51
20190,858,480,30,280,273,113,53
20220,858,480,30,277,273,116,54
20250,858,480,30,277,272,116,55
20280,858,480,30,281,274,110,52
20340,858,480,30,358,282,156,57
20400,858,480,30,570,326,77,108
